time;delayMs;Util;dropProb;Dq;reward
98.62;47.11881637573242;0.9827548265457153;1.4901161415892261e-09;1211980000.0;1.0
98.64;47.14849853515625;0.9827577471733093;1.4901161415892261e-09;1212230000.0;1.0
98.66;46.7628173828125;0.9827606081962585;1.4901161415892261e-09;1212480000.0;1.0
98.68;43.210018157958984;0.9827633500099182;0.10000000149011612;1212730000.0;1.0
98.7;39.794097900390625;0.9827662110328674;0.10000000149011612;1212980000.0;1.0
98.72;29.317218780517578;0.9827685952186584;0.10000000149011612;1213230000.0;1.0
98.74;26.348098754882812;0.9827718734741211;0.09000000357627869;1213480000.0;1.0
98.76;19.5789794921875;0.982774555683136;0.0;1213730000.0;1.0
98.78;18.563783645629883;0.9827772378921509;0.0;1213980000.0;1.0
98.8;15.688985824584961;0.9827796816825867;0.0;1214220000.0;1.0
98.82;14.754586219787598;0.9827829599380493;0.0;1214470000.0;1.0
98.84;14.276585578918457;0.9827854633331299;0.009999999776482582;1214720000.0;1.0
98.86;14.652189254760742;0.9827883243560791;0.0;1214970000.0;1.0
98.88;11.561310768127441;0.9827911257743835;0.009999999776482582;1215220000.0;1.0
98.9;8.154993057250977;0.9827935099601746;0.0;1215470000.0;1.0
98.92;2.579957962036133;0.9827964901924133;0.009999999776482582;1215720000.0;1.0
98.94;0.939562976360321;0.982799768447876;0.009999999776482582;1215970000.0;1.0
98.96;0.0;0.9827834367752075;0.0;1216190000.0;1.0
98.98;0.0;0.9827953577041626;0.0;1216450000.0;1.0
99.0;0.0;0.9827845692634583;0.0;1216690000.0;1.0
99.02;0.0;0.9827794432640076;0.0;1216930000.0;1.0
99.04;0.0;0.9827781319618225;0.0;1217170000.0;1.0
99.06;0.0;0.9827646613121033;0.0;1217400000.0;1.0
99.08;7.624309062957764;0.9828013777732849;0.0;1217690000.0;1.0
99.1;25.625574111938477;0.982804000377655;0.0;1217940000.0;1.0
99.12;43.62569046020508;0.9828068017959595;0.0;1218190000.0;1.0
99.14;44.247650146484375;0.9828112721443176;0.009999999776482582;1218440000.0;1.0
99.16;44.31314468383789;0.9828141331672668;0.0;1218690000.0;1.0
99.18;44.87479782104492;0.9828170537948608;0.0;1218940000.0;1.0
99.2;44.12189865112305;0.9828199744224548;0.0;1219190000.0;1.0
99.22;43.11388397216797;0.9828224182128906;0.0;1219440000.0;1.0
99.24;43.43620300292969;0.9828253388404846;0.0;1219690000.0;1.0
99.26;43.801002502441406;0.9828281998634338;0.0;1219940000.0;1.0
99.28;43.92508316040039;0.9828311204910278;0.009999999776482582;1220180000.0;1.0
99.3;44.57780456542969;0.9828335642814636;0.10999999940395355;1220430000.0;1.0
99.32;45.126686096191406;0.9828364253044128;0.10000000149011612;1220680000.0;1.0
99.34;46.015403747558594;0.9828393459320068;0.10999999940395355;1220930000.0;1.0
99.36;46.61148452758789;0.9828417897224426;0.009999999776482582;1221180000.0;1.0
99.38;47.11788558959961;0.9828446507453918;0.019999999552965164;1221430000.0;1.0
99.4;47.10508346557617;0.9828475713729858;0.009999999776482582;1221680000.0;1.0
99.42;46.53060531616211;0.9828504920005798;0.10999999940395355;1221930000.0;1.0
99.44;47.131404876708984;0.9828528761863708;0.10999999940395355;1222180000.0;1.0
99.46;47.07140350341797;0.9828557968139648;0.10000000149011612;1222430000.0;1.0
99.48;45.07148361206055;0.9828586578369141;0.10999999940395355;1222680000.0;1.0
99.5;43.40668487548828;0.9828615784645081;0.009999999776482582;1222930000.0;1.0
99.52;39.951595306396484;0.9828639626502991;0.009999999776482582;1223170000.0;1.0
99.54;35.314605712890625;0.9828668832778931;0.0;1223420000.0;1.0
99.56;34.263404846191406;0.9828697443008423;0.009999999776482582;1223670000.0;1.0
99.58;33.682796478271484;0.9828721880912781;0.0;1223920000.0;1.0
99.6;34.2802848815918;0.9828750491142273;0.009999999776482582;1224170000.0;1.0
99.62;35.353084564208984;0.9828779697418213;0.0;1224420000.0;1.0
99.64;35.335567474365234;0.9828808307647705;0.009999999776482582;1224670000.0;1.0
99.66;35.89860534667969;0.9828832149505615;0.10999999940395355;1224920000.0;1.0
